Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Evap,Ag,Muni,EF,Outflow,AgOut,MuniOut
2070 - 2100 Reference scenario,Jun,5.19983,-0.42708,-0.02211,-5.54957,3.74259,0.29611,0.24618,2.01631,7.456,0.148055,0.12309
2070 - 2100 Reference scenario,Jul,2.06977,-0.1424,-0.06503,-6.28387,4.18978,0.24143,0.25461,1.48137,4.37129,0.120715,0.127305
2070 - 2100 Reference scenario,Aug,2.77279,-0.0156,-0.23326,-3.2544,3.47734,0.05755,0.24453,1.49372,2.7987,0.028775,0.122265
2070 - 2100 Reference scenario,Sep,5.6365,-0.00014,-1.6912,1.03863,2.51302,0.03626,0.21982,1.67066,3.7762,0.01813,0.10991
2070 - 2100 HighClim scenario,Ann,154.99355,0,-0.0319,0.20047,27.81616,1.19935,2.35522,14.76601,127.13336,0.599675,1.17761
2070 - 2100 HighClim scenario,Oct,12.05896,-0.00001,-2.12588,7.16471,1.67001,0.02396,0.2054,1.72827,5.35012,0.01198,0.1027
2070 - 2100 HighClim scenario,Nov,24.60759,0.02827,-1.53929,12.68044,1.36488,0,0.18206,0,12.07328,0,0.09103
2070 - 2100 HighClim scenario,Dec,28.56208,0.20034,-0.14874,6.7676,1.28557,0,0.17827,0,20.45731,0,0.089135
2070 - 2100 HighClim scenario,Jan,21.20126,0.23306,0.01916,-0.2847,1.35749,0,0.17982,0,19.87624,0,0.08991
2070 - 2100 HighClim scenario,Feb,20.53697,0.03032,2.16618,0.60946,1.5274,0.00066,0.17124,0,16.20361,0.00033,0.08562
2070 - 2100 HighClim scenario,Mar,17.62887,-0.14608,1.75928,-2.50927,2.17279,0.06998,0.2064,0,16.35214,0.03499,0.1032
2070 - 2100 HighClim scenario,Apr,12.74729,-0.07502,1.37359,-3.48839,2.50705,0.16463,0.21919,3.41292,12.43006,0.082315,0.109595
2070 - 2100 HighClim scenario,May,8.04494,-0.18483,0.6451,-5.20512,3.34085,0.31956,0.24406,2.96275,9.44893,0.15978,0.12203
2070 - 2100 HighClim scenario,Jun,2.90811,-0.07806,-0.027,-6.69276,3.62544,0.31567,0.24618,2.01631,6.08048,0.157835,0.12309
2070 - 2100 HighClim scenario,Jul,1.13629,-0.00796,-0.13209,-6.0201,3.8773,0.20125,0.25462,1.48137,3.41915,0.100625,0.12731
2070 - 2100 HighClim scenario,Aug,1.73682,-0.00012,-0.43175,-3.14329,3.03315,0.05739,0.24453,1.49372,2.27883,0.028695,0.122265
2070 - 2100 HighClim scenario,Sep,3.72383,0.00009,-1.59047,0.32188,2.05423,0.04411,0.21982,1.67066,2.93812,0.022055,0.10991
