Scenario,Month,Precip,SnowDelta,ResDelta,SoilDelta,Evap,Ag,Muni,EF,Outflow,AgCons,MuniCons,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Feb,20.53175404,0.030132417,2.006497581,1.797597531,1.77542041,0.002418434,0.16657144,0,14.9221061,0.001813825,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Mar,17.62282855,-0.146965545,1.774120995,-2.532144325,3.039936077,0.114156542,0.196202338,0,15.48788135,0.085617406,0.000292827,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Apr,12.7425852,-0.074125463,1.36027077,-4.506448245,4.101264653,0.186814752,0.203511239,3.412921183,11.86162348,0.140111064,0.0064462,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,May,8.042121085,-0.184457426,0.710219935,-7.91920366,6.469863003,0.300122931,0.222601638,2.962748073,8.965699233,0.225092198,0.026167782,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Jun,2.90707039,-0.077933803,0.020995476,-10.73596168,7.93450535,0.332233254,0.222426349,2.016314661,5.765465048,0.24917494,0.048247165,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Jul,1.136042867,-0.007882148,-0.098852649,-9.533601628,7.26218168,0.228046663,0.230002691,1.481374037,3.514197613,0.171034997,0.073470185,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Aug,1.736335274,-0.00010622,-0.310598597,-4.649663089,4.251678437,0.066579221,0.222934191,1.49371882,2.445024743,0.049934416,0.070255365,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 HighClim s,Sep,3.722888142,8.80E-05,-1.611649937,-0.178996739,2.507384397,0.045880618,0.203949293,1.670660719,3.006062419,0.034410464,0.043569766,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Ann,154.9497364,6.51E-18,-0.059531617,1.473631424,44.17153075,3.568738533,3.236111025,14.81538634,109.4899588,2.678135522,0.421517769,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Win,124.5621748,0.344145186,-1.645432222,39.7714796,10.5085567,0.257340668,1.627989998,1.728269709,75.58342552,0.193005501,0.018170283,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Sum,30.28704296,-0.344145186,1.585900604,-38.29784817,33.6266556,3.313506694,1.963013758,13.03773749,33.71648011,2.48513002,0.403347486,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Oct,12.05624094,-1.10E-05,-2.060159475,7.838774199,2.227763253,0.257340668,0.291798537,1.728269709,4.049873936,0.193005501,0.017730884,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Nov,24.60101661,0.028173774,-1.641651176,17.19025946,1.393554156,0,0.264422612,0,7.630680393,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Dec,28.55489241,0.200178481,-0.096425558,12.38531773,1.246446666,0,0.262687475,0,14.81937508,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Jan,21.19544223,0.232811396,0.092104841,2.519788431,1.340264071,0,0.265542303,0,17.01047349,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Feb,20.53175404,0.030074343,0.184590322,2.323178461,1.665137493,0,0.249351031,0,16.32877342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Mar,17.62282855,-0.147081838,1.876108824,-2.485838691,2.635391057,0,0.29418804,0,15.7442492,0,0.000439399,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Apr,12.7425852,-0.074167234,2.214679349,-4.574340519,3.569521113,0.032392987,0.305669988,3.412921183,11.60689249,0.02429474,0.009683582,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,May,8.042121085,-0.18434304,1.240912495,-7.756887721,6.080852517,0.377612677,0.334783653,2.962748073,8.661586834,0.283209508,0.039358458,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Jun,2.90707039,-0.07763025,0.118980323,-10.77036755,7.99192072,0.541260406,0.334756799,2.016314661,5.644167148,0.405945305,0.072614154,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Jul,1.136042867,-0.00798569,-0.104891878,-9.976231148,8.047631667,0.819448976,0.346164674,1.481374037,3.177519917,0.614586732,0.110575336,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Aug,1.736335274,-0.000106484,-0.343500374,-4.969521985,5.007574437,0.876182928,0.335295039,1.49371882,2.04188968,0.657137196,0.105667028,,,,,,,,,,,,,,,,,,,,,,,,,
2070 - 2100 Extreme sc,Sep,3.722888142,8.75E-05,-1.540279311,-0.250499249,2.929155143,0.66660872,0.306343605,1.670660719,2.584424045,0.49995654,0.065448929,,,,,,,,,,,,,,,,,,,,,,,,,
